GID_0,NAME_0,NAME_1,farm_sz,nm_slc0,farm_sz2,variable,value
AGO,Angola,Angola,N0_1,Angola,Under 1 HA,Current Farms,318153.1039670827
BDI,Bubanza,Bubanza,N0_1,Burundi,Under 1 HA,Current Farms,56333.538428765205
BDI,Bujumbura Mairie,Bujumbura Mairie,N0_1,Burundi,Under 1 HA,Current Farms,24364.984244782823
BDI,Bujumbura Rural,Bujumbura Rural,N0_1,Burundi,Under 1 HA,Current Farms,118848.408296275
BDI,Bururi,Bururi,N0_1,Burundi,Under 1 HA,Current Farms,100264.48138137464
BDI,Cankuzo,Cankuzo,N0_1,Burundi,Under 1 HA,Current Farms,29475.04769216598
BDI,Cibitoke,Cibitoke,N0_1,Burundi,Under 1 HA,Current Farms,90215.94468109941
BDI,Gitega,Gitega,N0_1,Burundi,Under 1 HA,Current Farms,118735.21617968357
BDI,Karuzi,Karuzi,N0_1,Burundi,Under 1 HA,Current Farms,116524.13131920117
BDI,Kayanza,Kayanza,N0_1,Burundi,Under 1 HA,Current Farms,70666.86494989277
BDI,Kirundo,Kirundo,N0_1,Burundi,Under 1 HA,Current Farms,159467.03364204805
BDI,Makamba,Makamba,N0_1,Burundi,Under 1 HA,Current Farms,67649.62404105222
BDI,Muramvya,Muramvya,N0_1,Burundi,Under 1 HA,Current Farms,46629.83302109166
BDI,Muyinga,Muyinga,N0_1,Burundi,Under 1 HA,Current Farms,97496.35482321678
BDI,Mwaro,Mwaro,N0_1,Burundi,Under 1 HA,Current Farms,52026.24219863804
BDI,Ngozi,Ngozi,N0_1,Burundi,Under 1 HA,Current Farms,136929.72848227556
BDI,Rutana,Rutana,N0_1,Burundi,Under 1 HA,Current Farms,62420.97638336064
BDI,Ruyigi,Ruyigi,N0_1,Burundi,Under 1 HA,Current Farms,78016.8348322022
BEN,Alibori,Alibori,N0_1,Benin,Under 1 HA,Current Farms,7057.644517099407
BEN,Atakora,Atakora,N0_1,Benin,Under 1 HA,Current Farms,9101.241746596022
BEN,Atlantique,Atlantique,N0_1,Benin,Under 1 HA,Current Farms,22773.266377986605
BEN,Borgou,Borgou,N0_1,Benin,Under 1 HA,Current Farms,6342.058855711147
BEN,Collines,Collines,N0_1,Benin,Under 1 HA,Current Farms,10631.970665879826
BEN,Donga,Donga,N0_1,Benin,Under 1 HA,Current Farms,8202.069088228136
BEN,Kouffo,Kouffo,N0_1,Benin,Under 1 HA,Current Farms,63070.53537056885
BEN,Littoral,Littoral,N0_1,Benin,Under 1 HA,Current Farms,359.06381873626225
