variable,model,gcm,count
Very Dry,Historical (1995-2014),EC-Earth3,3468
Very Dry,Historical (1995-2014),Ensemble Average,704
Very Dry,Historical (1995-2014),GFDL-ESM4,3275
Very Dry,Historical (1995-2014),MPI-ESM1-2-HR,3299
Very Dry,Historical (1995-2014),MRI-ESM2-0,3617
Very Dry,Historical (1995-2014),NorESM2-LM,3468
Very Dry,SSP245 (2040-2060),EC-Earth3,3640
Very Dry,SSP245 (2040-2060),Ensemble Average,2676
Very Dry,SSP245 (2040-2060),GFDL-ESM4,6144
Very Dry,SSP245 (2040-2060),MPI-ESM1-2-HR,4519
Very Dry,SSP245 (2040-2060),MRI-ESM2-0,4779
Very Dry,SSP245 (2040-2060),NorESM2-LM,4590
Very Dry,SSP585 (2040-2060),EC-Earth3,3747
Very Dry,SSP585 (2040-2060),Ensemble Average,3423
Very Dry,SSP585 (2040-2060),GFDL-ESM4,6276
Very Dry,SSP585 (2040-2060),MPI-ESM1-2-HR,3924
Very Dry,SSP585 (2040-2060),MRI-ESM2-0,5827
Very Dry,SSP585 (2040-2060),NorESM2-LM,5124
Very Wet,Historical (1995-2014),EC-Earth3,3563
Very Wet,Historical (1995-2014),Ensemble Average,1131
Very Wet,Historical (1995-2014),GFDL-ESM4,3541
Very Wet,Historical (1995-2014),MPI-ESM1-2-HR,3293
Very Wet,Historical (1995-2014),MRI-ESM2-0,3465
Very Wet,Historical (1995-2014),NorESM2-LM,3563
Very Wet,SSP245 (2040-2060),EC-Earth3,4083
Very Wet,SSP245 (2040-2060),Ensemble Average,599
Very Wet,SSP245 (2040-2060),GFDL-ESM4,1742
Very Wet,SSP245 (2040-2060),MPI-ESM1-2-HR,2362
Very Wet,SSP245 (2040-2060),MRI-ESM2-0,2469
Very Wet,SSP245 (2040-2060),NorESM2-LM,2880
Very Wet,SSP585 (2040-2060),EC-Earth3,4321
Very Wet,SSP585 (2040-2060),Ensemble Average,1062
Very Wet,SSP585 (2040-2060),GFDL-ESM4,1581
Very Wet,SSP585 (2040-2060),MPI-ESM1-2-HR,3291
Very Wet,SSP585 (2040-2060),MRI-ESM2-0,2209
Very Wet,SSP585 (2040-2060),NorESM2-LM,2565
